City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Isangel,VU,2020-12-08 18:46:35,-19.55,169.27,78.69,84,28,9.48
211,Westport,US,2020-12-08 18:43:57,41.14,-73.36,33.8,55,90,17.22
212,Hammond,US,2020-12-08 18:46:35,41.58,-87.5,36.0,69,90,14.99
213,Sarankhola,BD,2020-12-08 18:46:36,22.31,89.79,65.3,69,100,2.8
214,Nata,PA,2020-12-08 18:43:47,8.33,-80.52,78.01,69,71,12.41
215,Acajutla,SV,2020-12-08 18:42:20,13.59,-89.83,78.8,50,20,10.29
216,Bay Roberts,CA,2020-12-08 18:46:36,47.6,-53.26,42.01,80,90,4.36
217,Tsumeb,NA,2020-12-08 18:46:36,-19.23,17.72,78.94,44,0,5.21
218,Itoman,JP,2020-12-08 18:46:36,26.12,127.67,66.2,93,75,18.34
219,Warwick,US,2020-12-08 18:46:36,41.7,-71.42,33.01,78,75,16.11
220,Oksfjord,NO,2020-12-08 18:46:36,70.24,22.35,33.8,86,20,3.36
221,Conde,BR,2020-12-08 18:46:36,-7.26,-34.91,84.2,62,40,14.99
222,Husavik,IS,2020-12-08 18:46:36,66.04,-17.34,30.2,80,0,2.24
223,Balkhash,KZ,2020-12-08 18:46:36,46.84,74.98,10.11,89,0,2.44
224,Flinders,AU,2020-12-08 18:46:37,-34.58,150.86,57.0,77,4,1.99
225,Umm Lajj,SA,2020-12-08 18:46:37,25.02,37.27,76.17,42,0,7.09
226,Narsaq,GL,2020-12-08 18:46:37,60.92,-46.05,32.0,79,20,21.92
227,Chateauroux,FR,2020-12-08 18:46:37,46.82,1.7,37.4,86,0,8.05
228,Clyde River,CA,2020-12-08 18:46:37,70.47,-68.59,8.6,84,90,14.99
229,Sao Filipe,CV,2020-12-08 18:46:37,14.9,-24.5,75.31,73,90,14.94
230,Kucevo,RS,2020-12-08 18:46:37,44.48,21.67,39.99,77,23,1.99
231,Iqaluit,CA,2020-12-08 18:46:37,63.75,-68.51,23.0,73,75,10.29
232,Plettenberg Bay,ZA,2020-12-08 18:46:37,-34.05,23.37,67.1,85,100,8.05
233,Tazovskiy,RU,2020-12-08 18:46:37,67.47,78.7,-13.09,90,79,3.38
234,Litovko,RU,2020-12-08 18:46:37,49.24,135.17,12.0,85,78,10.13
235,Teya,RU,2020-12-08 18:46:37,60.38,92.63,-16.82,84,100,4.63
236,Moramanga,MG,2020-12-08 18:46:38,-18.93,48.2,63.09,93,100,7.05
237,Tuatapere,NZ,2020-12-08 18:46:38,-46.13,167.68,54.0,75,87,4.0
238,Petauke,ZM,2020-12-08 18:46:38,-14.24,31.33,66.2,94,100,8.1
239,Nanortalik,GL,2020-12-08 18:46:38,60.14,-45.24,30.38,84,85,5.03
240,Ocampo,MX,2020-12-08 18:46:38,21.65,-101.5,63.52,41,1,5.39
241,Fort Nelson,CA,2020-12-08 18:45:03,58.81,-122.7,19.4,79,75,4.7
242,Port Blair,IN,2020-12-08 18:43:09,11.67,92.75,78.48,74,98,8.08
243,Chara,RU,2020-12-08 18:46:38,56.91,118.26,-1.43,81,26,1.79
244,Bergama,TR,2020-12-08 18:46:38,39.12,27.18,57.2,93,20,5.82
245,Sri Aman,MY,2020-12-08 18:46:38,1.24,111.46,77.0,100,92,0.74
246,Monrovia,LR,2020-12-08 18:46:38,6.3,-10.8,73.4,94,20,5.82
247,Cabo San Lucas,MX,2020-12-08 18:46:38,22.89,-109.91,82.0,60,75,2.24
248,Vila Velha,BR,2020-12-08 18:45:27,-20.33,-40.29,86.0,62,40,19.46
249,Vaitape,PF,2020-12-08 18:46:39,-16.52,-151.75,80.64,75,100,19.35
250,Pithoragarh,IN,2020-12-08 18:46:39,29.58,80.22,43.25,71,0,3.02
251,Rantepao,ID,2020-12-08 18:46:39,-2.97,119.9,67.62,85,100,2.44
252,Marawi,PH,2020-12-08 18:46:39,8.0,124.29,73.0,90,86,5.01
253,Yarmouth,US,2020-12-08 18:46:39,41.71,-70.23,35.01,74,90,18.34
254,Gbarnga,LR,2020-12-08 18:46:39,7.0,-9.47,74.66,90,100,2.98
255,Ridgecrest,US,2020-12-08 18:46:39,35.62,-117.67,63.0,15,75,3.36
256,Tadine,NC,2020-12-08 18:46:39,-21.55,167.88,78.82,83,63,10.22
257,Kachiry,KZ,2020-12-08 18:46:39,53.07,76.1,16.95,97,97,8.7
258,Bilma,NE,2020-12-08 18:46:39,18.69,12.92,76.84,18,27,6.78
259,Sao Jose Da Coroa Grande,BR,2020-12-08 18:46:39,-8.9,-35.15,81.23,66,0,9.91
260,Kenora,CA,2020-12-08 18:46:39,49.82,-94.43,30.2,100,75,8.05
261,Cayenne,GF,2020-12-08 18:43:34,4.93,-52.33,82.4,69,100,8.05
262,Ugoofaaru,MV,2020-12-08 18:46:40,5.67,73.0,82.42,77,20,11.3
263,Benguela,AO,2020-12-08 18:46:40,-12.58,13.41,74.86,77,100,4.0
264,Kamen-Rybolov,RU,2020-12-08 18:46:40,44.75,132.04,10.96,91,0,4.81
265,Quatre Cocos,MU,2020-12-08 18:46:40,-20.21,57.76,77.0,88,75,13.87
266,Esplanada,BR,2020-12-08 18:46:40,-11.8,-37.95,84.51,57,23,11.92
267,Hirara,JP,2020-12-08 18:46:40,24.8,125.28,70.3,93,100,39.93
268,Dikson,RU,2020-12-08 18:46:40,73.51,80.55,-2.83,93,100,22.3
269,Thompson,CA,2020-12-08 18:46:40,55.74,-97.86,35.6,93,90,11.41
270,Verkhoyansk,RU,2020-12-08 18:46:40,67.54,133.38,-39.89,79,27,1.66
271,Saint Anthony,US,2020-12-08 18:45:18,45.02,-93.22,36.0,74,75,8.05
272,Bhandara,IN,2020-12-08 18:46:40,21.17,79.65,62.6,72,0,3.47
273,Socorro,US,2020-12-08 18:46:41,31.65,-106.3,59.0,18,5,5.82
274,Verkhnevilyuysk,RU,2020-12-08 18:46:41,63.45,120.32,-30.41,85,100,4.03
275,Oneonta,US,2020-12-08 18:46:41,42.45,-75.06,26.01,81,96,1.01
276,Bangui,CF,2020-12-08 18:46:41,4.36,18.55,82.4,74,100,2.24
277,Souillac,MU,2020-12-08 18:46:41,-20.52,57.52,77.0,88,75,13.87
278,Araguacu,BR,2020-12-08 18:46:41,-12.93,-49.83,91.87,43,99,2.93
279,Envigado,CO,2020-12-08 18:46:41,6.17,-75.59,69.8,60,40,6.93
280,Grand Gaube,MU,2020-12-08 18:46:41,-20.01,57.66,75.99,81,100,5.99
281,Faya,SA,2020-12-08 18:46:41,18.39,42.45,60.8,77,0,4.79
282,Lorengau,PG,2020-12-08 18:46:41,-2.02,147.27,81.99,69,100,1.23
283,Basco,PH,2020-12-08 18:46:42,20.45,121.97,76.42,87,95,27.25
284,Funadhoo,MV,2020-12-08 18:46:42,6.15,73.27,82.44,77,0,11.88
285,Awjilah,LY,2020-12-08 18:46:42,29.11,21.29,54.93,36,0,6.51
286,Alice Springs,AU,2020-12-08 18:46:42,-23.7,133.88,73.4,18,100,8.05
287,Griffith,US,2020-12-08 18:46:42,41.53,-87.42,36.0,69,90,14.99
288,Mochudi,BW,2020-12-08 18:46:42,-24.42,26.15,73.4,64,0,3.36
289,Honiton,GB,2020-12-08 18:42:23,50.8,-3.19,41.0,86,20,3.36
290,Gat,IL,2020-12-08 18:43:05,31.61,34.76,66.0,100,7,7.27
291,Taihe,CN,2020-12-08 18:46:42,30.87,105.38,49.39,74,95,3.8
292,Vuktyl,RU,2020-12-08 18:46:42,63.86,57.31,25.83,98,100,6.2
293,Matamoros,MX,2020-12-08 18:43:47,25.53,-103.25,60.8,23,75,3.67
294,Nelson Bay,AU,2020-12-08 18:46:42,-32.72,152.15,57.99,82,90,8.05
295,Sitka,US,2020-12-08 18:46:42,57.05,-135.33,42.8,87,90,3.36
296,Malanje,AO,2020-12-08 18:46:43,-9.54,16.34,65.98,96,100,5.79
297,Praia Da Vitoria,PT,2020-12-08 18:46:43,38.73,-27.07,62.6,72,20,6.11
298,Zonguldak,TR,2020-12-08 18:46:43,41.25,31.83,47.23,88,72,3.8
299,Yangjiang,CN,2020-12-08 18:46:43,21.85,111.97,60.98,59,74,6.42
300,Hami,CN,2020-12-08 18:46:43,42.8,93.45,16.27,86,0,1.3
301,Tiznit,MA,2020-12-08 18:46:43,29.58,-9.5,55.08,66,0,4.92
302,Mae Hong Son,TH,2020-12-08 18:46:43,19.3,97.97,64.47,81,2,1.45
